,team_abbrv,team_name,box_score_data,box_score_id,season,home_team,home_team_innings_data,home_team_other_data,away_team,away_team_innings_data,away_team_other_data,team_side,result,blown_leads
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,ARI_2013,Arizona Diamondbacks,"{'home_team': {'team_name': 'Arizona Diamondbacks', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '3', '5': '1', '6': '0', '7': '2', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '6', 'hits': '15', 'errors': '0'}}, 'away_team': {'team_name': 'St. Louis Cardinals', 'inning_data': {'1': '1', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '1', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '5', 'errors': '1'}}}",ARI20130401,2013,Arizona Diamondbacks,"['0', '0', '0', '3', '1', '0', '2', '0', 'X']","{'runs': '6', 'hits': '15', 'errors': '0'}",St. Louis Cardinals,"['1', '0', '0', '0', '0', '0', '1', '0', '0']","{'runs': '2', 'hits': '5', 'errors': '1'}",home,1.0,0.0
0,ARI_2013,Arizona Diamondbacks,"{'home_team': {'team_name': 'Arizona Diamondbacks', 'inning_data': {'1': '0', '2': '1', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '3', 'errors': '0'}}, 'away_team': {'team_name': 'St. Louis Cardinals', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '0', '6': '2', '7': '3', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '6', 'hits': '10', 'errors': '1'}}}",ARI20130402,2013,Arizona Diamondbacks,"['0', '1', '0', '0', '0', '0', '0', '0', '0']","{'runs': '1', 'hits': '3', 'errors': '0'}",St. Louis Cardinals,"['0', '0', '0', '1', '0', '2', '3', '0', '0']","{'runs': '6', 'hits': '10', 'errors': '1'}",home,0.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,ATL_2013,Atlanta Braves,"{'home_team': {'team_name': 'Atlanta Braves', 'inning_data': {'1': '2', '2': '1', '3': '1', '4': '0', '5': '1', '6': '2', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '7', 'hits': '10', 'errors': '0'}}, 'away_team': {'team_name': 'Philadelphia Phillies', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '2', '6': '0', '7': '1', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '5', 'hits': '10', 'errors': '0'}}}",ATL20130401,2013,Atlanta Braves,"['2', '1', '1', '0', '1', '2', '0', '0', 'X']","{'runs': '7', 'hits': '10', 'errors': '0'}",Philadelphia Phillies,"['0', '0', '0', '1', '2', '0', '1', '1', '0']","{'runs': '5', 'hits': '10', 'errors': '0'}",home,1.0,0.0
0,ATL_2013,Atlanta Braves,"{'home_team': {'team_name': 'Atlanta Braves', 'inning_data': {'1': '3', '2': '0', '3': '0', '4': '4', '5': '0', '6': '0', '7': '0', '8': '2', '9': 'X'}, 'other_box_score_data': {'runs': '9', 'hits': '9', 'errors': '1'}}, 'away_team': {'team_name': 'Philadelphia Phillies', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '2', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '9', 'errors': '0'}}}",ATL20130403,2013,Atlanta Braves,"['3', '0', '0', '4', '0', '0', '0', '2', 'X']","{'runs': '9', 'hits': '9', 'errors': '1'}",Philadelphia Phillies,"['0', '0', '0', '0', '0', '0', '2', '0', '0']","{'runs': '2', 'hits': '9', 'errors': '0'}",home,1.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,BAL_2013,Baltimore Orioles,"{'home_team': {'team_name': 'Tampa Bay Rays', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '0', '6': '2', '7': '0', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '6', 'errors': '0'}}, 'away_team': {'team_name': 'Baltimore Orioles', 'inning_data': {'1': '2', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '5', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '7', 'hits': '13', 'errors': '1'}}}",BAL20130402,2013,Tampa Bay Rays,"['0', '0', '0', '1', '0', '2', '0', '1', '0']","{'runs': '4', 'hits': '6', 'errors': '0'}",Baltimore Orioles,"['2', '0', '0', '0', '0', '0', '5', '0', '0']","{'runs': '7', 'hits': '13', 'errors': '1'}",away,1.0,0.0
0,BAL_2013,Baltimore Orioles,"{'home_team': {'team_name': 'Tampa Bay Rays', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '4', '7': '3', '8': '0', '9': '1'}, 'other_box_score_data': {'runs': '8', 'hits': '14', 'errors': '0'}}, 'away_team': {'team_name': 'Baltimore Orioles', 'inning_data': {'1': '3', '2': '0', '3': '0', '4': '0', '5': '0', '6': '1', '7': '1', '8': '1', '9': '1'}, 'other_box_score_data': {'runs': '7', 'hits': '11', 'errors': '0'}}}",BAL20130403,2013,Tampa Bay Rays,"['0', '0', '0', '0', '0', '4', '3', '0', '1']","{'runs': '8', 'hits': '14', 'errors': '0'}",Baltimore Orioles,"['3', '0', '0', '0', '0', '1', '1', '1', '1']","{'runs': '7', 'hits': '11', 'errors': '0'}",away,0.0,1.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,BOS_2013,Boston Red Sox,"{'home_team': {'team_name': 'New York Yankees', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '6', 'errors': '0'}}, 'away_team': {'team_name': 'Boston Red Sox', 'inning_data': {'1': '0', '2': '4', '3': '0', '4': '0', '5': '0', '6': '0', '7': '1', '8': '0', '9': '3'}, 'other_box_score_data': {'runs': '8', 'hits': '13', 'errors': '0'}}}",BOS20130401,2013,New York Yankees,"['0', '0', '0', '2', '0', '0', '0', '0', '0']","{'runs': '2', 'hits': '6', 'errors': '0'}",Boston Red Sox,"['0', '4', '0', '0', '0', '0', '1', '0', '3']","{'runs': '8', 'hits': '13', 'errors': '0'}",away,1.0,0.0
0,BOS_2013,Boston Red Sox,"{'home_team': {'team_name': 'New York Yankees', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '0', '6': '0', '7': '0', '8': '3', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '9', 'errors': '0'}}, 'away_team': {'team_name': 'Boston Red Sox', 'inning_data': {'1': '1', '2': '1', '3': '4', '4': '0', '5': '0', '6': '1', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '7', 'hits': '14', 'errors': '0'}}}",BOS20130403,2013,New York Yankees,"['0', '0', '0', '1', '0', '0', '0', '3', '0']","{'runs': '4', 'hits': '9', 'errors': '0'}",Boston Red Sox,"['1', '1', '4', '0', '0', '1', '0', '0', '0']","{'runs': '7', 'hits': '14', 'errors': '0'}",away,1.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,CHC_2013,Chicago Cubs,"{'home_team': {'team_name': 'Pittsburgh Pirates', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '1'}, 'other_box_score_data': {'runs': '1', 'hits': '3', 'errors': '1'}}, 'away_team': {'team_name': 'Chicago Cubs', 'inning_data': {'1': '2', '2': '0', '3': '0', '4': '0', '5': '0', '6': '1', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '3', 'hits': '6', 'errors': '1'}}}",CHC20130401,2013,Pittsburgh Pirates,"['0', '0', '0', '0', '0', '0', '0', '0', '1']","{'runs': '1', 'hits': '3', 'errors': '1'}",Chicago Cubs,"['2', '0', '0', '0', '0', '1', '0', '0', '0']","{'runs': '3', 'hits': '6', 'errors': '1'}",away,1.0,0.0
0,CHC_2013,Chicago Cubs,"{'home_team': {'team_name': 'Pittsburgh Pirates', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '1', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '3', 'hits': '6', 'errors': '0'}}, 'away_team': {'team_name': 'Chicago Cubs', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '0', 'hits': '2', 'errors': '1'}}}",CHC20130403,2013,Pittsburgh Pirates,"['0', '0', '0', '2', '0', '0', '1', '0', 'X']","{'runs': '3', 'hits': '6', 'errors': '0'}",Chicago Cubs,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","{'runs': '0', 'hits': '2', 'errors': '1'}",away,0.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,CHW_2013,Chicago White Sox,"{'home_team': {'team_name': 'Chicago White Sox', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '1', '6': '0', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '1', 'hits': '8', 'errors': '0'}}, 'away_team': {'team_name': 'Kansas City Royals', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '0', 'hits': '7', 'errors': '0'}}}",CHW20130401,2013,Chicago White Sox,"['0', '0', '0', '0', '1', '0', '0', '0', 'X']","{'runs': '1', 'hits': '8', 'errors': '0'}",Kansas City Royals,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","{'runs': '0', 'hits': '7', 'errors': '0'}",home,1.0,0.0
0,CHW_2013,Chicago White Sox,"{'home_team': {'team_name': 'Chicago White Sox', 'inning_data': {'1': '0', '2': '1', '3': '1', '4': '2', '5': '0', '6': '0', '7': '1', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '5', 'hits': '8', 'errors': '3'}}, 'away_team': {'team_name': 'Kansas City Royals', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '1', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '5', 'errors': '0'}}}",CHW20130403,2013,Chicago White Sox,"['0', '1', '1', '2', '0', '0', '1', '0', 'X']","{'runs': '5', 'hits': '8', 'errors': '3'}",Kansas City Royals,"['0', '0', '1', '0', '0', '1', '0', '0', '0']","{'runs': '2', 'hits': '5', 'errors': '0'}",home,1.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,CIN_2013,Cincinnati Reds,"{'home_team': {'team_name': 'Cincinnati Reds', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0', '10': '0', '11': '0', '12': '0', '13': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '3', 'errors': '1'}}, 'away_team': {'team_name': 'Los Angeles Angels of Anaheim', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0', '10': '0', '11': '0', '12': '0', '13': '2'}, 'other_box_score_data': {'runs': '3', 'hits': '6', 'errors': '3'}}}",CIN20130401,2013,Cincinnati Reds,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","{'runs': '1', 'hits': '3', 'errors': '1'}",Los Angeles Angels of Anaheim,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2']","{'runs': '3', 'hits': '6', 'errors': '3'}",home,0.0,0.0
0,CIN_2013,Cincinnati Reds,"{'home_team': {'team_name': 'Cincinnati Reds', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '4', '5': '0', '6': '0', '7': '0', '8': '0', '9': '1'}, 'other_box_score_data': {'runs': '5', 'hits': '6', 'errors': '1'}}, 'away_team': {'team_name': 'Los Angeles Angels of Anaheim', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '1', '6': '0', '7': '2', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '9', 'errors': '2'}}}",CIN20130403,2013,Cincinnati Reds,"['0', '0', '0', '4', '0', '0', '0', '0', '1']","{'runs': '5', 'hits': '6', 'errors': '1'}",Los Angeles Angels of Anaheim,"['0', '0', '0', '0', '1', '0', '2', '1', '0']","{'runs': '4', 'hits': '9', 'errors': '2'}",home,1.0,1.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,CLE_2013,Cleveland Indians,"{'home_team': {'team_name': 'Toronto Blue Jays', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '4', 'errors': '0'}}, 'away_team': {'team_name': 'Cleveland Indians', 'inning_data': {'1': '0', '2': '2', '3': '0', '4': '0', '5': '2', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '7', 'errors': '1'}}}",CLE20130402,2013,Toronto Blue Jays,"['0', '0', '1', '0', '0', '0', '0', '0', '0']","{'runs': '1', 'hits': '4', 'errors': '0'}",Cleveland Indians,"['0', '2', '0', '0', '2', '0', '0', '0', '0']","{'runs': '4', 'hits': '7', 'errors': '1'}",away,1.0,0.0
0,CLE_2013,Cleveland Indians,"{'home_team': {'team_name': 'Toronto Blue Jays', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '1', '10': '0', '11': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '5', 'errors': '1'}}, 'away_team': {'team_name': 'Cleveland Indians', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '1', '9': '0', '10': '0', '11': '1'}, 'other_box_score_data': {'runs': '3', 'hits': '10', 'errors': '0'}}}",CLE20130403,2013,Toronto Blue Jays,"['0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0']","{'runs': '2', 'hits': '5', 'errors': '1'}",Cleveland Indians,"['0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1']","{'runs': '3', 'hits': '10', 'errors': '0'}",away,1.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,COL_2013,Colorado Rockies,"{'home_team': {'team_name': 'Milwaukee Brewers', 'inning_data': {'1': '0', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '3', '9': '0', '10': '1'}, 'other_box_score_data': {'runs': '5', 'hits': '8', 'errors': '0'}}, 'away_team': {'team_name': 'Colorado Rockies', 'inning_data': {'1': '0', '2': '0', '3': '2', '4': '0', '5': '1', '6': '0', '7': '0', '8': '0', '9': '1', '10': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '12', 'errors': '0'}}}",COL20130401,2013,Milwaukee Brewers,"['0', '0', '1', '0', '0', '0', '0', '3', '0', '1']","{'runs': '5', 'hits': '8', 'errors': '0'}",Colorado Rockies,"['0', '0', '2', '0', '1', '0', '0', '0', '1', '0']","{'runs': '4', 'hits': '12', 'errors': '0'}",away,0.0,0.0
0,COL_2013,Colorado Rockies,"{'home_team': {'team_name': 'Milwaukee Brewers', 'inning_data': {'1': '0', '2': '2', '3': '2', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '9', 'errors': '0'}}, 'away_team': {'team_name': 'Colorado Rockies', 'inning_data': {'1': '0', '2': '1', '3': '1', '4': '0', '5': '2', '6': '0', '7': '3', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '8', 'hits': '14', 'errors': '2'}}}",COL20130402,2013,Milwaukee Brewers,"['0', '2', '2', '0', '0', '0', '0', '0', '0']","{'runs': '4', 'hits': '9', 'errors': '0'}",Colorado Rockies,"['0', '1', '1', '0', '2', '0', '3', '1', '0']","{'runs': '8', 'hits': '14', 'errors': '2'}",away,1.0,0.0
0,nan_2013,,,,,,,,,,,,,
0,nan_2013,,,,,,,,,,,,,
0,DET_2013,Detroit Tigers,"{'home_team': {'team_name': 'Minnesota Twins', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '1', '7': '1', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '8', 'errors': '1'}}, 'away_team': {'team_name': 'Detroit Tigers', 'inning_data': {'1': '2', '2': '1', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '9', 'errors': '0'}}}",DET20130401,2013,Minnesota Twins,"['0', '0', '0', '0', '0', '1', '1', '0', '0']","{'runs': '2', 'hits': '8', 'errors': '1'}",Detroit Tigers,"['2', '1', '0', '0', '0', '0', '0', '1', '0']","{'runs': '4', 'hits': '9', 'errors': '0'}",away,1.0,0.0
